##Chromosome	MAQP	Length	ReadsNums
chr1	6	7	147
chr1	6	8	193
chr1	6	9	216
chr1	6	10	238
chr1	6	11	280
chr1	6	12	286
chr1	6	13	314
chr1	6	14	344
chr1	6	15	436
chr1	6	16	459
chr1	6	17	574
chr1	6	18	721
chr1	6	19	917
chr1	6	20	1423
chr1	6	21	2082
chr1	6	22	3556
chr1	6	23	5157
chr1	6	24	11159
chr1	6	25	12635
chr1	6	26	30546
chr1	6	27	33517
chr1	6	28	32336
chr1	6	29	13229
chr1	6	30	5193
chr1	6	31	3923
chr1	6	32	4955
chr1	6	33	5808
chr1	6	34	3959
chr1	6	35	2429
chr1	6	36	1126
chr1	6	37	524
chr1	6	38	269
chr1	6	39	139
chr1	6	40	71
chr1	6	41	45
chr1	6	42	28
chr1	6	43	22
chr1	6	44	11
chr1	6	45	7
chr1	6	46	3
chr1	6	47	2
chr1	6	48	1
chr1	6	50	1
chr1	6	51	1
chr1	6	52	1
chr1	6	53	2
chr1	6	54	2
chr1	6	55	4
chr1	6	56	2
chr1	6	57	3
chr1	6	58	2
chr1	6	60	1
chr2	6	7	170
chr2	6	8	190
chr2	6	9	235
chr2	6	10	273
chr2	6	11	262
chr2	6	12	320
chr2	6	13	330
chr2	6	14	388
chr2	6	15	441
chr2	6	16	515
chr2	6	17	534
chr2	6	18	790
chr2	6	19	980
chr2	6	20	1498
chr2	6	21	2141
chr2	6	22	3691
chr2	6	23	5192
chr2	6	24	11820
chr2	6	25	13052
chr2	6	26	31358
chr2	6	27	34677
chr2	6	28	34022
chr2	6	29	13529
chr2	6	30	5437
chr2	6	31	4052
chr2	6	32	5360
chr2	6	33	6108
chr2	6	34	4269
chr2	6	35	2692
chr2	6	36	1112
chr2	6	37	541
chr2	6	38	279
chr2	6	39	155
chr2	6	40	97
chr2	6	41	53
chr2	6	42	23
chr2	6	43	19
chr2	6	44	10
chr2	6	45	8
chr2	6	46	4
chr2	6	47	7
chr2	6	48	4
chr2	6	49	2
