##Chromosome	MAQP	Length	ReadsNums
chr1	6	7	311
chr1	6	8	394
chr1	6	9	453
chr1	6	10	500
chr1	6	11	546
chr1	6	12	655
chr1	6	13	675
chr1	6	14	776
chr1	6	15	912
chr1	6	16	957
chr1	6	17	1052
chr1	6	18	1344
chr1	6	19	1377
chr1	6	20	1693
chr1	6	21	1882
chr1	6	22	2416
chr1	6	23	2772
chr1	6	24	4425
chr1	6	25	4369
chr1	6	26	7723
chr1	6	27	9307
chr1	6	28	14252
chr1	6	29	15773
chr1	6	30	18862
chr1	6	31	22966
chr1	6	32	32240
chr1	6	33	42200
chr1	6	34	36232
chr1	6	35	31215
chr1	6	36	21439
chr1	6	37	14933
chr1	6	38	10650
chr1	6	39	7157
chr1	6	40	5183
chr1	6	41	3576
chr1	6	42	2649
chr1	6	43	1794
chr1	6	44	1356
chr1	6	45	928
chr1	6	46	790
chr1	6	47	604
chr1	6	48	574
chr1	6	49	525
chr1	6	50	509
chr1	6	51	571
chr1	6	52	670
chr1	6	53	770
chr1	6	54	910
chr1	6	55	1132
chr1	6	56	1148
chr1	6	57	1136
chr1	6	58	1054
chr1	6	59	837
chr1	6	60	635
chr1	6	61	408
chr1	6	62	245
chr1	6	63	122
chr1	6	64	78
chr1	6	65	25
chr1	6	66	8
chr1	6	67	5
chr2	6	7	379
chr2	6	8	450
chr2	6	9	455
chr2	6	10	548
chr2	6	11	579
chr2	6	12	733
chr2	6	13	766
chr2	6	14	761
chr2	6	15	926
chr2	6	16	975
chr2	6	17	1117
chr2	6	18	1339
chr2	6	19	1489
chr2	6	20	1805
chr2	6	21	1910
chr2	6	22	2546
chr2	6	23	2941
chr2	6	24	4608
chr2	6	25	4453
chr2	6	26	8431
chr2	6	27	9639
chr2	6	28	14819
chr2	6	29	16539
chr2	6	30	19950
chr2	6	31	24265
chr2	6	32	33884
chr2	6	33	44726
chr2	6	34	38385
chr2	6	35	32769
chr2	6	36	22573
chr2	6	37	16178
chr2	6	38	11570
chr2	6	39	7682
chr2	6	40	5695
chr2	6	41	3858
chr2	6	42	2832
chr2	6	43	2008
chr2	6	44	1435
chr2	6	45	991
chr2	6	46	785
chr2	6	47	614
chr2	6	48	528
chr2	6	49	495
chr2	6	50	555
chr2	6	51	529
chr2	6	52	671
chr2	6	53	772
chr2	6	54	909
chr2	6	55	1073
chr2	6	56	1127
chr2	6	57	1102
chr2	6	58	979
chr2	6	59	829
chr2	6	60	587
chr2	6	61	398
chr2	6	62	232
chr2	6	63	117
chr2	6	64	41
chr2	6	65	16
chr2	6	66	8
chr2	6	67	4
chr2	6	68	1
chr3	6	7	292
chr3	6	8	362
chr3	6	9	346
chr3	6	10	443
chr3	6	11	511
chr3	6	12	564
chr3	6	13	561
chr3	6	14	648
chr3	6	15	713
chr3	6	16	858
chr3	6	17	864
chr3	6	18	1072
chr3	6	19	1210
chr3	6	20	1490
chr3	6	21	1605
chr3	6	22	1999
chr3	6	23	2291
chr3	6	24	3785
chr3	6	25	3582
chr3	6	26	6706
chr3	6	27	8042
chr3	6	28	12089
chr3	6	29	13539
chr3	6	30	16313
chr3	6	31	19570
chr3	6	32	28210
chr3	6	33	36451
chr3	6	34	31522
chr3	6	35	26675
chr3	6	36	18506
chr3	6	37	13207
chr3	6	38	9341
chr3	6	39	6256
chr3	6	40	4742
chr3	6	41	3100
chr3	6	42	2346
chr3	6	43	1535
chr3	6	44	1183
chr3	6	45	832
chr3	6	46	680
chr3	6	47	541
chr3	6	48	397
chr3	6	49	420
chr3	6	50	417
chr3	6	51	444
chr3	6	52	569
chr3	6	53	611
chr3	6	54	739
chr3	6	55	853
chr3	6	56	857
chr3	6	57	909
chr3	6	58	822
chr3	6	59	680
chr3	6	60	524
chr3	6	61	331
chr3	6	62	184
chr3	6	63	98
chr3	6	64	40
chr3	6	65	25
chr3	6	66	12
chr3	6	67	2
chr3	6	68	3
chr4	6	7	234
chr4	6	8	307
