##Chromosome	MAQP	Length	ReadsNums
chr1	6	7	391
chr1	6	8	462
chr1	6	9	545
chr1	6	10	649
chr1	6	11	763
chr1	6	12	838
chr1	6	13	805
chr1	6	14	1027
chr1	6	15	1078
chr1	6	16	1189
chr1	6	17	1324
chr1	6	18	1539
chr1	6	19	1553
chr1	6	20	1870
chr1	6	21	1998
chr1	6	22	2372
chr1	6	23	2683
chr1	6	24	3729
chr1	6	25	3466
chr1	6	26	5828
chr1	6	27	6964
chr1	6	28	10268
chr1	6	29	11872
chr1	6	30	14712
chr1	6	31	18964
chr1	6	32	27646
chr1	6	33	38491
chr1	6	34	33983
chr1	6	35	30432
chr1	6	36	20858
chr1	6	37	15450
chr1	6	38	10456
chr1	6	39	7085
chr1	6	40	5133
chr1	6	41	3335
chr1	6	42	2421
chr1	6	43	1573
chr1	6	44	1141
chr1	6	45	797
chr1	6	46	616
chr1	6	47	474
chr1	6	48	373
chr1	6	49	373
chr1	6	50	353
chr1	6	51	391
chr1	6	52	452
chr1	6	53	502
chr1	6	54	637
chr1	6	55	706
chr1	6	56	690
chr1	6	57	716
chr1	6	58	691
chr1	6	59	546
chr1	6	60	361
chr1	6	61	247
chr1	6	62	142
chr1	6	63	65
chr1	6	64	41
chr1	6	65	11
chr1	6	66	2
chr1	6	67	3
chr2	6	7	405
chr2	6	8	491
chr2	6	9	604
chr2	6	10	651
chr2	6	11	749
chr2	6	12	872
chr2	6	13	953
chr2	6	14	992
chr2	6	15	1179
chr2	6	16	1256
chr2	6	17	1337
chr2	6	18	1503
chr2	6	19	1588
chr2	6	20	1957
chr2	6	21	2042
chr2	6	22	2507
chr2	6	23	2626
chr2	6	24	3933
chr2	6	25	3784
chr2	6	26	5889
chr2	6	27	7179
chr2	6	28	10660
chr2	6	29	12623
chr2	6	30	15502
chr2	6	31	19719
chr2	6	32	29180
chr2	6	33	40804
chr2	6	34	36149
chr2	6	35	32688
chr2	6	36	22401
chr2	6	37	16439
chr2	6	38	11568
