chr1	149895208	149900144	SF3B4	3
chr1	151375199	151431941	POGZ	3
chr1	152274650	152297679	FLG	3
chr1	153777382	153895451	GATAD2B	3
chr1	155305051	155532324	ASH1L	3
chr1	161284165	161334541	SDHC	3
chr1	164528596	164821067	PBX1	3
chr1	17345216	17380665	SDHB	3
chr1	180199432	180244188	LHX4	3
chr1	209958967	209979520	IRF6	3
chr1	241660856	241683085	FH	3
chr1	244212240	244220778	ZBTB18	3
chr1	27022521	27108601	ARID1A	3
chr1	27860755	27930143	AHDC1	3
chr1	43391045	43424847	SLC2A1	3
chr1	61542945	61928460	NFIA	3
chr1	6845383	7829766	CAMTA1	3
chr1	92711954	92764566	GLMN	3
chr10	102495465	102589698	PAX2	3
chr10	121410881	121437331	BAG3	3
chr10	180404	300577	ZMYND11	3
chr10	28821516	28912041	WAC	3
chr10	43572516	43625799	RET	3
chr10	76586170	76792380	KAT6B	3
chr10	79793517	79816571	RPS24	3
chr10	8096666	8117164	GATA3	3
chr10	88516395	88684945	BMPR1A	3
chr10	89623194	89731687	PTEN	3
chr10	94352824	94415152	KIF11	3
chr11	108093558	108239826	ATM	3
chr11	111957547	111966525	SDHD	3
chr11	118307204	118397539	KMT2A	3
chr11	118955586	118964259	HMBS	3
chr11	31806339	31839509	PAX6	3
chr11	32409320	32457081	WT1	3
chr11	44117098	44266980	EXT2	3
chr11	44282277	44331716	ALX4	3
chr11	47352956	47374253	MYBPC3	3
chr11	64570985	64578766	MEN1	3
chr11	86656716	86666440	FZD4	3
chr12	112856701	112947722	PTPN11	3
chr12	114791734	114846247	TBX5	3
chr12	116396380	116714991	MED13L	3
chr12	12870203	12875317	CDKN1B	3
chr12	13714409	14133022	GRIN2B	3
chr12	23682437	24715524	SOX5	3
chr12	46123491	46301823	ARID2	3
chr12	48366747	48398285	COL2A1	3
chr12	49412757	49449107	KMT2D	3
chr12	52301201	52317145	ACVRL1	3
chr12	56435685	56438007	RPS26	3
chr12	65563350	65642141	LEMD3	3
chr13	100634025	100639019	ZIC2	3
chr13	32889616	32973809	BRCA2	3
chr13	35516423	36246874	NBEA	3
chr13	48877882	49056026	RB1	3
chr13	78469615	78549858	EDNRB	3
chr14	21853352	21905457	CHD8	3
chr14	29236277	29239483	FOXG1	3
chr14	37126772	37147012	PAX9	3
chr14	55308722	55369542	GCH1	3
chr14	57267424	57277194	OTX2	3
chr14	95552564	95624347	DICER1	3
chr15	25582395	25684175	UBE3A	3
chr15	38545051	38649450	SPRED1	3
chr15	48700502	48937985	FBN1	3
chr15	57210287	57583459	TCF12	3
chr15	67358194	67487533	SMAD3	3
chr15	67493012	67547536	AAGAB	3
chr15	75661719	75748124	SIN3A	3
chr15	82821157	82824952	RPS17	3
chr15	93443550	93571237	CHD2	3
chr15	99191767	99507759	IGF1R	3
chr16	2097895	2138721	TSC2	3
chr16	2138710	2185899	PKD1	3
chr16	30968614	30995985	SETD1A	3
chr16	3775054	3930121	CREBBP	3
chr16	51169885	51185183	SALL1	3
chr16	68771192	68869445	CDH1	3
chr16	86544132	86548070	FOXF1	3
chr16	86600856	86602539	FOXC2	3
chr16	89334028	89556969	ANKRD11	3
chr17	15133093	15168690	PMP22	3
chr17	17115525	17140502	FLCN	3
chr17	17584786	17714767	RAI1	3
chr17	2496922	2588909	PAFAH1B1	3
chr17	29421944	29704695	NF1	3
chr17	36046433	36105069	HNF1B	3
chr17	41196311	41277500	BRCA1	3
chr17	42927654	42976993	EFTUD2	3
chr17	44107281	44302740	KANSL1	3
chr17	48261456	48279000	COL1A1	3
chr17	56769933	56811703	RAD51C	3
chr17	59529778	59562471	TBX4	3
chr17	59756546	59940920	BRIP1	3
chr17	63524680	63557740	AXIN2	3
chr17	70117160	70122561	SOX9	3
chr17	7571719	7590868	TP53	3
chr18	19749397	19782491	GATA6	3
chr18	31158540	31331158	ASXL3	3
chr18	3411924	3458409	TGIF1	3
chr18	42260137	42648475	SETBP1	3
chr18	48556582	48611412	SMAD4	3
chr18	52889428	53303224	TCF4	3
chr19	11200037	11244506	LDLR	3
chr19	1205797	1228434	STK11	3
chr19	13317255	13617274	CACNA1A	3
chr19	36208919	36229779	KMT2B	3
chr19	42363987	42375484	RPS19	3
chr2	145141941	145277958	ZEB2	3
chr2	148778579	149271046	MBD5	3
chr2	16080559	16087129	MYCN	3
chr2	162272604	162282378	TBR1	3
chr2	166095911	166248820	SCN2A	3
chr2	166845669	167005642	SCN1A	3
chr2	1792884	2335085	MYT1L	3
chr2	183789578	183903586	NCKAP1	3
chr2	189839098	189877472	COL3A1	3
chr2	200134222	200335989	SATB2	3
chr2	203241049	203432474	BMPR2	3
chr2	21224300	21266945	APOB	3
chr2	215590369	215674435	BARD1	3
chr2	223064605	223163715	PAX3	3
chr2	230628552	230786725	TRIP12	3
chr2	32288679	32382706	SPAST	3
chr2	47630205	47710367	MSH2	3
chr2	48010220	48034092	MSH6	3
chr2	50145642	51259674	NRXN1	3
chr2	5832798	5841517	SOX11	3
