##Chromosome	MAQP	Length	ReadsNums
chr1	6	7	299
chr1	6	8	289
chr1	6	9	305
chr1	6	10	317
chr1	6	11	283
chr1	6	12	326
chr1	6	13	356
chr1	6	14	348
chr1	6	15	350
chr1	6	16	390
chr1	6	17	346
chr1	6	18	339
chr1	6	19	363
chr1	6	20	364
chr1	6	21	376
chr1	6	22	382
chr1	6	23	388
chr1	6	24	407
chr1	6	25	392
chr1	6	26	383
chr1	6	27	408
chr1	6	28	416
chr1	6	29	431
chr1	6	30	403
chr1	6	31	415
chr1	6	32	425
chr1	6	33	477
chr1	6	34	616
chr1	6	35	542
chr1	6	36	625
chr1	6	37	765
chr1	6	38	710
chr1	6	39	748
chr1	6	40	816
chr1	6	41	747
chr1	6	42	772
chr1	6	43	719
chr1	6	44	858
chr1	6	45	838
chr1	6	46	703
chr1	6	47	678
chr1	6	48	394
chr1	6	49	211
chr1	6	50	123
chr1	6	51	70
chr1	6	52	36
chr1	6	53	53
chr1	6	54	29
chr1	6	55	42
chr1	6	56	34
chr1	6	57	27
chr1	6	58	27
chr1	6	59	19
chr1	6	60	9
chr1	6	61	5
chr1	6	62	6
chr1	6	63	4
chr1	6	64	2
chr1	6	65	1
chr1	6	66	1
chr2	6	7	278
chr2	6	8	426
chr2	6	9	354
chr2	6	10	370
chr2	6	11	465
chr2	6	12	452
chr2	6	13	491
chr2	6	14	500
chr2	6	15	502
chr2	6	16	514
chr2	6	17	527
chr2	6	18	465
chr2	6	19	469
chr2	6	20	523
chr2	6	21	495
chr2	6	22	494
chr2	6	23	511
chr2	6	24	454
chr2	6	25	515
chr2	6	26	476
chr2	6	27	517
chr2	6	28	510
chr2	6	29	450
chr2	6	30	502
chr2	6	31	544
chr2	6	32	585
chr2	6	33	603
chr2	6	34	560
chr2	6	35	641
chr2	6	36	675
chr2	6	37	740
chr2	6	38	776
chr2	6	39	910
chr2	6	40	794
chr2	6	41	920
chr2	6	42	970
chr2	6	43	989
chr2	6	44	1039
chr2	6	45	1019
chr2	6	46	972
chr2	6	47	808
chr2	6	48	491
chr2	6	49	277
chr2	6	50	177
chr2	6	51	79
chr2	6	52	54
chr2	6	53	37
chr2	6	54	22
chr2	6	55	35
chr2	6	56	23
chr2	6	57	25
chr2	6	58	26
chr2	6	59	13
chr2	6	60	11
chr2	6	61	9
chr2	6	62	3
chr2	6	63	3
chr3	6	7	233
chr3	6	8	270
chr3	6	9	299
chr3	6	10	282
chr3	6	11	337
chr3	6	12	310
chr3	6	13	335
chr3	6	14	349
chr3	6	15	336
chr3	6	16	336
chr3	6	17	370
chr3	6	18	295
chr3	6	19	305
chr3	6	20	335
chr3	6	21	327
chr3	6	22	315
chr3	6	23	309
chr3	6	24	321
chr3	6	25	338
chr3	6	26	307
chr3	6	27	335
chr3	6	28	379
chr3	6	29	344
chr3	6	30	389
chr3	6	31	306
chr3	6	32	354
chr3	6	33	343
chr3	6	34	363
chr3	6	35	435
chr3	6	36	465
chr3	6	37	487
chr3	6	38	437
chr3	6	39	519
chr3	6	40	533
chr3	6	41	537
chr3	6	42	455
chr3	6	43	616
chr3	6	44	720
chr3	6	45	895
chr3	6	46	591
chr3	6	47	576
chr3	6	48	381
chr3	6	49	222
chr3	6	50	119
chr3	6	51	65
chr3	6	52	45
chr3	6	53	24
chr3	6	54	39
chr3	6	55	25
chr3	6	56	27
chr3	6	57	23
chr3	6	58	16
chr3	6	59	14
chr3	6	60	7
chr3	6	61	6
chr3	6	62	5
chr3	6	63	2
chr4	6	7	103
chr4	6	8	157
chr4	6	9	157
chr4	6	10	157
chr4	6	11	194
chr4	6	12	194
chr4	6	13	192
chr4	6	14	177
chr4	6	15	204
chr4	6	16	169
chr4	6	17	188
chr4	6	18	171
chr4	6	19	143
chr4	6	20	180
chr4	6	21	140
chr4	6	22	153
chr4	6	23	133
chr4	6	24	123
chr4	6	25	106
chr4	6	26	131
chr4	6	27	136
chr4	6	28	120
chr4	6	29	122
chr4	6	30	116
chr4	6	31	115
chr4	6	32	103
chr4	6	33	114
chr4	6	34	114
chr4	6	35	98
chr4	6	36	126
chr4	6	37	145
chr4	6	38	167
chr4	6	39	187
chr4	6	40	131
chr4	6	41	126
chr4	6	42	143
chr4	6	43	113
chr4	6	44	220
chr4	6	45	192
chr4	6	46	120
chr4	6	47	132
chr4	6	48	100
chr4	6	49	51
chr4	6	50	43
chr4	6	51	22
chr4	6	52	12
chr4	6	53	18
chr4	6	54	20
chr4	6	55	17
chr4	6	56	11
chr4	6	57	10
chr4	6	58	7
chr4	6	59	10
chr4	6	60	5
chr4	6	61	4
chr4	6	62	2
chr4	6	63	1
chr4	6	65	1
chr5	6	7	202
chr5	6	8	230
chr5	6	9	250
chr5	6	10	291
chr5	6	11	288
chr5	6	12	323
chr5	6	13	308
chr5	6	14	305
chr5	6	15	271
chr5	6	16	318
chr5	6	17	314
chr5	6	18	301
chr5	6	19	327
chr5	6	20	354
chr5	6	21	352
chr5	6	22	371
chr5	6	23	410
chr5	6	24	348
chr5	6	25	396
chr5	6	26	355
chr5	6	27	364
chr5	6	28	363
chr5	6	29	342
chr5	6	30	373
chr5	6	31	311
chr5	6	32	358
chr5	6	33	358
chr5	6	34	378
chr5	6	35	421
chr5	6	36	493
chr5	6	37	483
chr5	6	38	587
chr5	6	39	515
chr5	6	40	573
chr5	6	41	626
chr5	6	42	634
chr5	6	43	614
chr5	6	44	823
chr5	6	45	766
chr5	6	46	699
chr5	6	47	636
chr5	6	48	399
chr5	6	49	227
chr5	6	50	130
chr5	6	51	47
chr5	6	52	40
chr5	6	53	21
chr5	6	54	25
chr5	6	55	28
chr5	6	56	24
chr5	6	57	19
chr5	6	58	18
chr5	6	59	15
chr5	6	60	5
chr5	6	61	4
chr5	6	62	3
chr5	6	63	1
chr6	6	7	218
chr6	6	8	224
chr6	6	9	251
chr6	6	10	233
chr6	6	11	272
chr6	6	12	277
chr6	6	13	251
chr6	6	14	277
chr6	6	15	298
chr6	6	16	331
chr6	6	17	319
chr6	6	18	313
chr6	6	19	338
chr6	6	20	348
chr6	6	21	377
chr6	6	22	297
chr6	6	23	374
chr6	6	24	298
chr6	6	25	318
chr6	6	26	298
chr6	6	27	272
chr6	6	28	319
chr6	6	29	283
chr6	6	30	360
chr6	6	31	291
chr6	6	32	324
chr6	6	33	271
chr6	6	34	345
chr6	6	35	420
chr6	6	36	400
chr6	6	37	424
chr6	6	38	556
chr6	6	39	501
chr6	6	40	516
chr6	6	41	533
chr6	6	42	483
chr6	6	43	585
chr6	6	44	666
chr6	6	45	705
chr6	6	46	609
chr6	6	47	518
chr6	6	48	354
chr6	6	49	183
chr6	6	50	121
chr6	6	51	45
chr6	6	52	30
chr6	6	53	18
chr6	6	54	28
chr6	6	55	23
chr6	6	56	15
chr6	6	57	13
chr6	6	58	10
chr6	6	59	10
chr6	6	60	7
chr6	6	61	5
chr6	6	62	4
chr7	6	7	146
chr7	6	8	182
chr7	6	9	181
chr7	6	10	181
chr7	6	11	218
chr7	6	12	212
chr7	6	13	193
chr7	6	14	228
chr7	6	15	237
chr7	6	16	213
chr7	6	17	238
chr7	6	18	223
chr7	6	19	250
chr7	6	20	230
chr7	6	21	230
chr7	6	22	207
chr7	6	23	221
chr7	6	24	197
chr7	6	25	231
chr7	6	26	211
chr7	6	27	258
chr7	6	28	187
chr7	6	29	285
chr7	6	30	212
chr7	6	31	258
chr7	6	32	219
chr7	6	33	263
chr7	6	34	294
chr7	6	35	258
chr7	6	36	279
chr7	6	37	378
chr7	6	38	314
chr7	6	39	328
chr7	6	40	427
chr7	6	41	371
chr7	6	42	390
chr7	6	43	370
chr7	6	44	397
chr7	6	45	527
chr7	6	46	333
chr7	6	47	350
chr7	6	48	232
chr7	6	49	144
chr7	6	50	78
chr7	6	51	34
chr7	6	52	31
chr7	6	53	26
chr7	6	54	26
chr7	6	55	19
chr7	6	56	18
chr7	6	57	19
chr7	6	58	12
chr7	6	59	9
chr7	6	60	5
chr7	6	61	2
chr7	6	62	2
chr7	6	63	2
chr8	6	7	127
chr8	6	8	147
chr8	6	9	129
chr8	6	10	131
chr8	6	11	202
chr8	6	12	169
chr8	6	13	174
chr8	6	14	187
chr8	6	15	179
chr8	6	16	206
chr8	6	17	191
chr8	6	18	186
chr8	6	19	183
chr8	6	20	194
chr8	6	21	200
chr8	6	22	207
chr8	6	23	216
chr8	6	24	191
chr8	6	25	189
chr8	6	26	199
chr8	6	27	192
chr8	6	28	225
chr8	6	29	207
chr8	6	30	198
chr8	6	31	191
chr8	6	32	202
chr8	6	33	211
chr8	6	34	254
chr8	6	35	263
chr8	6	36	291
chr8	6	37	292
chr8	6	38	320
chr8	6	39	348
chr8	6	40	385
chr8	6	41	386
chr8	6	42	334
chr8	6	43	420
chr8	6	44	495
chr8	6	45	438
chr8	6	46	522
chr8	6	47	372
chr8	6	48	222
chr8	6	49	144
chr8	6	50	76
chr8	6	51	36
chr8	6	52	29
chr8	6	53	27
chr8	6	54	24
chr8	6	55	28
chr8	6	56	23
chr8	6	57	15
chr8	6	58	11
chr8	6	59	9
chr8	6	60	5
chr8	6	61	8
chr8	6	62	4
chr8	6	65	1
chr9	6	7	135
chr9	6	8	176
chr9	6	9	158
chr9	6	10	186
chr9	6	11	167
chr9	6	12	192
chr9	6	13	212
chr9	6	14	211
chr9	6	15	190
chr9	6	16	191
chr9	6	17	210
chr9	6	18	188
chr9	6	19	224
chr9	6	20	203
chr9	6	21	219
chr9	6	22	192
chr9	6	23	199
chr9	6	24	233
chr9	6	25	237
chr9	6	26	203
chr9	6	27	203
chr9	6	28	237
chr9	6	29	197
chr9	6	30	245
chr9	6	31	217
chr9	6	32	244
chr9	6	33	185
chr9	6	34	218
chr9	6	35	246
chr9	6	36	253
chr9	6	37	315
chr9	6	38	349
chr9	6	39	351
chr9	6	40	407
chr9	6	41	433
chr9	6	42	388
chr9	6	43	391
chr9	6	44	413
chr9	6	45	414
chr9	6	46	330
chr9	6	47	362
chr9	6	48	214
chr9	6	49	138
chr9	6	50	73
chr9	6	51	31
chr9	6	52	30
chr9	6	53	18
chr9	6	54	14
chr9	6	55	27
chr9	6	56	13
chr9	6	57	9
chr9	6	58	12
chr9	6	59	6
chr9	6	60	7
chr9	6	61	6
chr9	6	62	2
chr9	6	63	3
chr9	6	64	1
chr10	6	7	279
chr10	6	8	302
chr10	6	9	288
chr10	6	10	252
chr10	6	11	316
chr10	6	12	364
chr10	6	13	364
chr10	6	14	382
chr10	6	15	384
chr10	6	16	440
chr10	6	17	441
chr10	6	18	461
chr10	6	19	479
chr10	6	20	537
chr10	6	21	508
chr10	6	22	507
chr10	6	23	603
chr10	6	24	589
chr10	6	25	505
chr10	6	26	589
chr10	6	27	500
chr10	6	28	385
chr10	6	29	306
chr10	6	30	304
chr10	6	31	289
chr10	6	32	276
chr10	6	33	306
chr10	6	34	308
chr10	6	35	301
chr10	6	36	350
chr10	6	37	374
chr10	6	38	331
chr10	6	39	354
chr10	6	40	350
chr10	6	41	377
chr10	6	42	396
chr10	6	43	361
chr10	6	44	460
chr10	6	45	421
chr10	6	46	382
chr10	6	47	287
chr10	6	48	219
chr10	6	49	140
chr10	6	50	62
chr10	6	51	38
chr10	6	52	29
chr10	6	53	27
chr10	6	54	16
chr10	6	55	22
chr10	6	56	14
chr10	6	57	22
chr10	6	58	8
chr10	6	59	12
chr10	6	60	9
chr10	6	61	4
chr10	6	63	2
chr10	6	64	3
chr11	6	7	301
chr11	6	8	256
chr11	6	9	287
chr11	6	10	264
chr11	6	11	280
chr11	6	12	292
chr11	6	13	298
chr11	6	14	307
chr11	6	15	316
chr11	6	16	351
chr11	6	17	352
chr11	6	18	326
chr11	6	19	313
chr11	6	20	319
chr11	6	21	318
chr11	6	22	311
chr11	6	23	322
chr11	6	24	250
chr11	6	25	290
chr11	6	26	308
chr11	6	27	295
chr11	6	28	253
chr11	6	29	288
chr11	6	30	258
chr11	6	31	249
chr11	6	32	271
chr11	6	33	318
chr11	6	34	282
chr11	6	35	352
chr11	6	36	324
chr11	6	37	388
chr11	6	38	393
chr11	6	39	496
chr11	6	40	547
chr11	6	41	484
chr11	6	42	541
chr11	6	43	530
chr11	6	44	557
chr11	6	45	522
chr11	6	46	511
chr11	6	47	398
chr11	6	48	303
chr11	6	49	173
chr11	6	50	92
chr11	6	51	44
chr11	6	52	28
chr11	6	53	31
chr11	6	54	23
chr11	6	55	14
chr11	6	56	16
chr11	6	57	17
chr11	6	58	12
chr11	6	59	10
chr11	6	60	6
chr11	6	61	1
chr11	6	62	3
chr11	6	63	1
chr11	6	65	1
chr12	6	7	209
chr12	6	8	250
chr12	6	9	264
chr12	6	10	255
chr12	6	11	281
chr12	6	12	282
chr12	6	13	288
chr12	6	14	320
chr12	6	15	294
chr12	6	16	276
chr12	6	17	302
chr12	6	18	342
chr12	6	19	356
chr12	6	20	337
chr12	6	21	341
chr12	6	22	364
