##Chromosome	MAQP	Length	ReadsNums
chr1	6	7	497
chr1	6	8	682
chr1	6	9	661
chr1	6	10	754
chr1	6	11	860
chr1	6	12	1032
chr1	6	13	993
chr1	6	14	1118
chr1	6	15	1257
chr1	6	16	1443
chr1	6	17	1562
chr1	6	18	1905
chr1	6	19	2050
chr1	6	20	2530
chr1	6	21	2858
chr1	6	22	3313
chr1	6	23	3845
chr1	6	24	5580
chr1	6	25	5349
chr1	6	26	8546
chr1	6	27	10163
chr1	6	28	15075
chr1	6	29	17448
chr1	6	30	21484
chr1	6	31	26092
chr1	6	32	37547
chr1	6	33	48466
chr1	6	34	44702
chr1	6	35	37406
chr1	6	36	27611
chr1	6	37	19603
chr1	6	38	14188
chr1	6	39	9591
chr1	6	40	7149
chr1	6	41	4684
chr1	6	42	3558
chr1	6	43	2366
chr1	6	44	1692
chr1	6	45	1145
chr1	6	46	775
chr1	6	47	629
chr1	6	48	517
chr1	6	49	454
chr1	6	50	414
chr1	6	51	459
chr1	6	52	525
chr1	6	53	652
chr1	6	54	790
chr1	6	55	919
chr1	6	56	965
chr1	6	57	973
chr1	6	58	898
chr1	6	59	801
chr1	6	60	553
chr1	6	61	346
chr1	6	62	222
chr1	6	63	139
chr1	6	64	64
chr1	6	65	27
chr1	6	66	7
chr1	6	67	6
chr1	6	68	3
chr1	6	69	1
chr1	6	70	1
chr2	6	7	589
chr2	6	8	671
chr2	6	9	783
chr2	6	10	839
chr2	6	11	994
chr2	6	12	993
chr2	6	13	1148
chr2	6	14	1198
chr2	6	15	1310
chr2	6	16	1448
chr2	6	17	1623
chr2	6	18	2058
chr2	6	19	2198
chr2	6	20	2618
chr2	6	21	2970
chr2	6	22	3679
chr2	6	23	4064
chr2	6	24	5705
chr2	6	25	5527
chr2	6	26	8839
chr2	6	27	10572
chr2	6	28	16167
chr2	6	29	18159
chr2	6	30	22904
chr2	6	31	27545
chr2	6	32	39920
chr2	6	33	52184
chr2	6	34	47918
chr2	6	35	39834
chr2	6	36	29350
chr2	6	37	20822
chr2	6	38	15444
chr2	6	39	10351
chr2	6	40	7827
chr2	6	41	5218
chr2	6	42	3807
chr2	6	43	2583
chr2	6	44	1835
chr2	6	45	1266
chr2	6	46	923
chr2	6	47	647
