##Chromosome	MAQP	Length	ReadsNums
chr1	6	7	187
chr1	6	8	248
chr1	6	9	245
chr1	6	10	298
chr1	6	11	356
chr1	6	12	421
chr1	6	13	414
chr1	6	14	470
chr1	6	15	558
chr1	6	16	676
chr1	6	17	772
chr1	6	18	997
chr1	6	19	1032
chr1	6	20	1313
chr1	6	21	1361
chr1	6	22	1822
chr1	6	23	1947
chr1	6	24	2946
chr1	6	25	2708
chr1	6	26	4894
chr1	6	27	5641
chr1	6	28	8626
chr1	6	29	9376
chr1	6	30	11291
chr1	6	31	13580
chr1	6	32	18244
chr1	6	33	23040
chr1	6	34	18212
chr1	6	35	14357
chr1	6	36	9244
chr1	6	37	6394
chr1	6	38	4212
chr1	6	39	2904
chr1	6	40	2169
chr1	6	41	1440
chr1	6	42	1021
chr1	6	43	738
chr1	6	44	529
chr1	6	45	394
chr1	6	46	321
chr1	6	47	254
chr1	6	48	243
chr1	6	49	226
chr1	6	50	191
chr1	6	51	226
chr1	6	52	222
chr1	6	53	280
chr1	6	54	292
chr1	6	55	329
chr1	6	56	380
chr1	6	57	350
chr1	6	58	323
chr1	6	59	245
chr1	6	60	187
chr1	6	61	98
chr1	6	62	58
chr1	6	63	32
chr1	6	64	14
chr1	6	65	3
chr1	6	66	1
chr1	6	67	3
chr2	6	7	212
chr2	6	8	239
chr2	6	9	279
chr2	6	10	331
chr2	6	11	349
chr2	6	12	406
chr2	6	13	470
chr2	6	14	491
chr2	6	15	643
chr2	6	16	764
chr2	6	17	844
chr2	6	18	961
chr2	6	19	1056
chr2	6	20	1408
chr2	6	21	1462
chr2	6	22	1879
chr2	6	23	2093
chr2	6	24	3126
chr2	6	25	2873
chr2	6	26	5019
chr2	6	27	5947
chr2	6	28	9073
chr2	6	29	9742
chr2	6	30	11919
chr2	6	31	14099
chr2	6	32	19333
chr2	6	33	24584
chr2	6	34	19664
chr2	6	35	15544
chr2	6	36	9898
chr2	6	37	6895
chr2	6	38	4633
chr2	6	39	3069
chr2	6	40	2283
chr2	6	41	1595
chr2	6	42	1160
chr2	6	43	777
chr2	6	44	571
chr2	6	45	433
chr2	6	46	374
chr2	6	47	260
chr2	6	48	247
chr2	6	49	183
chr2	6	50	235
chr2	6	51	203
chr2	6	52	249
chr2	6	53	267
chr2	6	54	320
chr2	6	55	361
chr2	6	56	368
chr2	6	57	336
chr2	6	58	281
chr2	6	59	271
chr2	6	60	202
chr2	6	61	140
chr2	6	62	75
chr2	6	63	35
chr2	6	64	12
chr2	6	65	3
chr2	6	66	4
chr2	6	67	2
chr3	6	7	165
chr3	6	8	197
chr3	6	9	221
chr3	6	10	263
chr3	6	11	312
chr3	6	12	344
chr3	6	13	381
chr3	6	14	412
chr3	6	15	498
chr3	6	16	644
chr3	6	17	636
chr3	6	18	886
chr3	6	19	844
chr3	6	20	1179
chr3	6	21	1081
chr3	6	22	1531
chr3	6	23	1684
chr3	6	24	2549
chr3	6	25	2272
chr3	6	26	4279
chr3	6	27	4744
chr3	6	28	7333
chr3	6	29	8046
chr3	6	30	9743
chr3	6	31	11711
chr3	6	32	15882
chr3	6	33	20171
chr3	6	34	16031
chr3	6	35	12699
chr3	6	36	8121
chr3	6	37	5549
chr3	6	38	3737
chr3	6	39	2532
chr3	6	40	1867
chr3	6	41	1306
chr3	6	42	961
chr3	6	43	634
chr3	6	44	487
chr3	6	45	334
chr3	6	46	282
chr3	6	47	220
chr3	6	48	192
chr3	6	49	179
chr3	6	50	182
chr3	6	51	161
chr3	6	52	189
chr3	6	53	204
chr3	6	54	268
chr3	6	55	296
chr3	6	56	283
chr3	6	57	281
chr3	6	58	272
chr3	6	59	187
chr3	6	60	159
chr3	6	61	95
chr3	6	62	67
chr3	6	63	31
chr3	6	64	9
chr3	6	65	5
chr3	6	66	4
chr3	6	67	1
chr4	6	7	159
chr4	6	8	186
chr4	6	9	200
chr4	6	10	245
chr4	6	11	305
chr4	6	12	283
chr4	6	13	324
chr4	6	14	381
chr4	6	15	492
chr4	6	16	526
chr4	6	17	586
chr4	6	18	778
chr4	6	19	801
chr4	6	20	989
chr4	6	21	1203
chr4	6	22	1433
chr4	6	23	1519
chr4	6	24	2363
chr4	6	25	2211
chr4	6	26	3855
chr4	6	27	4299
chr4	6	28	6700
chr4	6	29	7383
chr4	6	30	8876
chr4	6	31	10572
chr4	6	32	14458
chr4	6	33	18139
chr4	6	34	14742
chr4	6	35	11725
chr4	6	36	7627
chr4	6	37	5298
chr4	6	38	3535
chr4	6	39	2439
chr4	6	40	1766
chr4	6	41	1169
chr4	6	42	915
chr4	6	43	633
chr4	6	44	428
chr4	6	45	347
chr4	6	46	261
chr4	6	47	196
chr4	6	48	197
chr4	6	49	158
chr4	6	50	158
chr4	6	51	136
chr4	6	52	167
chr4	6	53	193
chr4	6	54	211
chr4	6	55	246
chr4	6	56	254
chr4	6	57	238
chr4	6	58	214
chr4	6	59	165
chr4	6	60	138
chr4	6	61	94
chr4	6	62	45
chr4	6	63	21
chr4	6	64	19
chr4	6	65	2
chr4	6	66	1
chr4	6	68	1
chr5	6	7	145
chr5	6	8	183
chr5	6	9	216
chr5	6	10	217
chr5	6	11	241
chr5	6	12	273
