##Chromosome	MAQP	Length	ReadsNums
chr1	6	7	196
chr1	6	8	231
chr1	6	9	295
chr1	6	10	353
chr1	6	11	411
chr1	6	12	465
chr1	6	13	574
chr1	6	14	685
chr1	6	15	779
chr1	6	16	1000
chr1	6	17	1138
chr1	6	18	1503
chr1	6	19	1523
chr1	6	20	2020
chr1	6	21	2106
chr1	6	22	2687
chr1	6	23	2728
chr1	6	24	4133
chr1	6	25	3425
chr1	6	26	5811
chr1	6	27	6273
chr1	6	28	9417
chr1	6	29	10210
chr1	6	30	11832
chr1	6	31	13628
chr1	6	32	18147
chr1	6	33	22609
chr1	6	34	19735
chr1	6	35	16677
chr1	6	36	11597
chr1	6	37	8348
chr1	6	38	5809
chr1	6	39	4058
chr1	6	40	2981
chr1	6	41	2002
chr1	6	42	1405
chr1	6	43	1000
chr1	6	44	696
chr1	6	45	505
chr1	6	46	406
chr1	6	47	336
chr1	6	48	248
chr1	6	49	232
chr1	6	50	231
chr1	6	51	247
chr1	6	52	278
chr1	6	53	316
chr1	6	54	360
chr1	6	55	395
chr1	6	56	391
chr1	6	57	386
chr1	6	58	352
chr1	6	59	306
chr1	6	60	187
chr1	6	61	133
chr1	6	62	85
chr1	6	63	40
chr1	6	64	21
chr1	6	65	9
chr1	6	66	1
chr1	6	68	2
chr2	6	7	231
chr2	6	8	246
chr2	6	9	323
chr2	6	10	341
chr2	6	11	422
chr2	6	12	484
chr2	6	13	548
chr2	6	14	682
chr2	6	15	873
chr2	6	16	1033
chr2	6	17	1182
chr2	6	18	1522
chr2	6	19	1624
chr2	6	20	2134
chr2	6	21	2217
chr2	6	22	2792
chr2	6	23	2934
chr2	6	24	4314
chr2	6	25	3555
chr2	6	26	6087
chr2	6	27	6481
chr2	6	28	10296
chr2	6	29	10728
chr2	6	30	12651
chr2	6	31	14183
chr2	6	32	19263
chr2	6	33	24027
chr2	6	34	21027
chr2	6	35	18153
chr2	6	36	12399
chr2	6	37	9071
chr2	6	38	6495
chr2	6	39	4290
chr2	6	40	3106
chr2	6	41	2313
chr2	6	42	1559
chr2	6	43	1123
chr2	6	44	780
chr2	6	45	522
chr2	6	46	433
chr2	6	47	312
chr2	6	48	280
chr2	6	49	245
chr2	6	50	277
chr2	6	51	243
chr2	6	52	263
chr2	6	53	335
chr2	6	54	377
chr2	6	55	427
chr2	6	56	405
chr2	6	57	423
chr2	6	58	382
chr2	6	59	311
chr2	6	60	254
chr2	6	61	149
chr2	6	62	88
chr2	6	63	64
chr2	6	64	22
chr2	6	65	8
chr2	6	66	9
chr3	6	7	168
chr3	6	8	192
