chrom	loc.start	loc.end	num.mark	seg.mean	FusedLasso	Effective
chr1	860001	22020001	12	-1.17906764193171	-1.22851618352409	20960000
chr1	23740001	25800001	2	1.90556524855137	0.743926743813852	4060000
chr1	27920001	27920001	1	-0.96564054288606	-0.3211057733157	2120000
chr1	30220001	51980001	13	-1.42644337007247	-1.53654777781261	23460000
chr1	53920001	61960001	6	-0.175968753010822	-0.165561145053929	9860000
chr1	63780001	81620001	11	-1.64827810957868	-1.63070120443084	19460000
chr1	83320001	90760001	5	-0.722142927593248	-0.509968191902593	8780000
chr1	92520001	105780001	8	-0.463302029032078	-0.421418686605841	14780000
chr1	107680001	115160001	5	-0.428243547173926	-0.318761036487209	8880000
chr1	116860001	151940001	5	-0.133047244393197	-0.126710120070473	9280000
chr1	153820001	159820001	4	1.56510295028366	0.870586529114728	7900000
chr1	161980001	167040001	4	-0.130716943208244	-0.116215852899764	6780000
chr1	168800001	168800001	1	-0.190830104942002	-0.0956735830497533	1800000
chr1	170660001	179780001	6	-1.69277167049909	-1.24656003600858	10880000
chr1	181560001	192480001	7	-0.140847564112157	-0.14857364777713	12720000
chr1	194300001	199920001	4	1.33883180820298	0.738918712949071	7220000
chr1	201660001	212840001	7	-0.805085996802584	-0.659894481105668	12120000
chr1	214560001	239680001	15	0.0413945832648243	0.00649419016812934	26400000
chr1	241460001	245620001	3	1.97830111861387	0.956798967154368	6880000
chr2	40001	27520001	17	0.265161606152792	0.281168741828195	28860000
chr2	29340001	145340001	59	-0.320632295945591	-0.776568529634688	104080000
chr2	147020001	233360001	49	0.292265743297533	0.564503332267321	87720000
chr2	235220001	240060001	4	-1.41701740058477	-0.886982391781543	7720000
chr3	120001	24640001	15	-0.280482006072378	-0.386985439282431	26040000
chr3	26320001	51920001	15	0.560171822038909	0.669761810376942	27320000
chr3	53740001	56960001	3	-0.41859397035099	-0.269726070882796	5160000
chr3	58900001	63780001	4	-2.20752539254726	-1.46739720386061	6440000
chr3	65380001	65380001	1	-0.443205094336354	-0.178255467165321	1700000
chr3	67200001	72260001	4	-0.029264687469102	-0.0534012901454735	6740000
chr3	73940001	83460001	6	0.46810286325302	0.337751756606851	10880000
chr3	85380001	112240001	10	1.31415241087522	1.31441571274493	18280000
chr3	114080001	114080001	1	0.193946484528885	0.0285447856309266	1660000
chr3	115740001	139320001	14	-0.478660640300315	-0.615704031333209	24560000
chr3	140900001	155660001	9	1.30966387101476	1.240828176905	16420000
chr3	157380001	157380001	1	0.45412158267207	0.112989802879607	1820000
chr3	159200001	166920001	5	-1.09245263031212	-0.827263337739806	9300000
chr3	168620001	190340001	13	0.301184592199374	0.318057932669443	23480000
chr3	192140001	193840001	2	1.89800658236603	0.836801898817085	5420000
chr4	60001	2140001	2	3.00616415728336	1.49580925916127	3820000
chr4	4320001	13300001	6	-1.5470679885324	-1.39867788671646	9780000
chr4	15000001	16700001	2	-0.547167376381895	-0.313107100276235	3440000
chr4	18440001	32620001	9	0.0700753104453157	0.0411180458372739	16000000
chr4	34560001	47540001	8	1.03362244200557	1.01782784438983	14780000
chr4	53880001	67320001	8	-0.335957215346968	-0.376612851202866	15160000
chr4	69200001	69200001	1	0.333385823045541	0.0854520601315842	2080000
chr4	71780001	82820001	7	1.37300441948493	1.27308432071625	12860000
chr4	84780001	88460001	3	0.03391632328844	-0.0134108008849857	5540000
chr4	90320001	120440001	17	-0.289654584796878	-0.464462364313159	31400000
chr4	122220001	129660001	5	0.283593509364607	0.193712874340167	9300000
chr4	131520001	139440001	5	1.4953700468298	1.16909613975107	9480000
chr4	141320001	145260001	3	0.285765634783412	0.14361432631463	5380000
chr4	147100001	148860001	2	-0.147114223122057	-0.109449578674296	3500000
chr4	150620001	157600001	5	-0.227963329757293	-0.21804949665749	8740000
chr4	159360001	163200001	3	-1.97031905777876	-1.26302833520304	5660000
chr4	165040001	167060001	2	-0.14653251637403	-0.109153445638881	3840000
chr4	168960001	172660001	3	0.208118126398079	0.095202004642734	5480000
chr4	174440001	176240001	2	0.378781727395157	0.158271510461245	3560000
chr4	178020001	188740001	7	1.13839953890515	1.04964797428856	12780000
chr5	40001	19220001	12	0.390947502360203	0.479574857171122	20600000
chr5	21560001	23560001	2	-0.090930741349175	-0.0842568394116514	3780000
chr5	25520001	59880001	17	-0.508518621406172	-0.832576421540352	31000000
chr5	61660001	81780001	11	0.31751154335505	0.365044355861355	19860000
chr5	83500001	113140001	17	0.930492538043532	1.42339126167397	31060000
chr5	115000001	115000001	1	0.562717032160119	0.178599632000045	1740000
