##Chromosome	MAQP	Length	ReadsNums
chr1	6	7	209
chr1	6	8	243
chr1	6	9	300
chr1	6	10	357
chr1	6	11	409
chr1	6	12	425
chr1	6	13	509
chr1	6	14	618
chr1	6	15	761
chr1	6	16	916
chr1	6	17	934
chr1	6	18	1250
chr1	6	19	1286
chr1	6	20	1656
chr1	6	21	1726
chr1	6	22	2173
chr1	6	23	2285
chr1	6	24	3485
chr1	6	25	3107
chr1	6	26	5247
chr1	6	27	5652
chr1	6	28	8396
chr1	6	29	8929
chr1	6	30	10903
chr1	6	31	13229
chr1	6	32	18650
chr1	6	33	23678
chr1	6	34	20328
chr1	6	35	17396
chr1	6	36	12173
chr1	6	37	8874
chr1	6	38	6046
chr1	6	39	4214
chr1	6	40	3127
chr1	6	41	2100
chr1	6	42	1553
chr1	6	43	1062
chr1	6	44	795
chr1	6	45	521
chr1	6	46	409
chr1	6	47	354
chr1	6	48	283
chr1	6	49	236
chr1	6	50	230
chr1	6	51	225
chr1	6	52	248
chr1	6	53	296
chr1	6	54	318
chr1	6	55	350
chr1	6	56	343
chr1	6	57	375
chr1	6	58	309
chr1	6	59	232
chr1	6	60	187
chr1	6	61	118
chr1	6	62	73
chr1	6	63	34
chr1	6	64	16
chr1	6	65	12
chr1	6	66	3
chr2	6	7	222
chr2	6	8	279
chr2	6	9	296
chr2	6	10	319
chr2	6	11	455
chr2	6	12	473
chr2	6	13	590
chr2	6	14	653
chr2	6	15	767
chr2	6	16	986
chr2	6	17	1025
chr2	6	18	1305
chr2	6	19	1239
chr2	6	20	1720
chr2	6	21	1814
chr2	6	22	2314
chr2	6	23	2353
chr2	6	24	3718
chr2	6	25	3287
chr2	6	26	5571
chr2	6	27	6037
chr2	6	28	8813
chr2	6	29	9446
chr2	6	30	11939
chr2	6	31	13878
chr2	6	32	19769
chr2	6	33	25442
chr2	6	34	22013
chr2	6	35	19212
chr2	6	36	13171
chr2	6	37	9637
chr2	6	38	6707
chr2	6	39	4705
chr2	6	40	3361
chr2	6	41	2321
chr2	6	42	1729
chr2	6	43	1143
chr2	6	44	816
chr2	6	45	576
chr2	6	46	438
chr2	6	47	374
chr2	6	48	290
chr2	6	49	249
chr2	6	50	249
chr2	6	51	258
chr2	6	52	270
chr2	6	53	300
chr2	6	54	317
chr2	6	55	377
chr2	6	56	392
chr2	6	57	360
chr2	6	58	345
chr2	6	59	248
chr2	6	60	199
chr2	6	61	121
chr2	6	62	60
chr2	6	63	38
chr2	6	64	33
chr2	6	65	12
chr2	6	66	1
chr2	6	67	2
chr3	6	7	180
chr3	6	8	205
chr3	6	9	268
chr3	6	10	281
chr3	6	11	352
chr3	6	12	374
chr3	6	13	444
chr3	6	14	550
chr3	6	15	673
chr3	6	16	726
chr3	6	17	766
chr3	6	18	1114
chr3	6	19	1115
chr3	6	20	1493
chr3	6	21	1494
chr3	6	22	1984
chr3	6	23	1974
chr3	6	24	2967
chr3	6	25	2642
chr3	6	26	4602
chr3	6	27	4975
chr3	6	28	7310
chr3	6	29	7949
chr3	6	30	9749
chr3	6	31	11514
chr3	6	32	16117
chr3	6	33	21135
chr3	6	34	18092
chr3	6	35	15454
chr3	6	36	10571
chr3	6	37	7824
chr3	6	38	5409
chr3	6	39	3730
chr3	6	40	2709
chr3	6	41	1915
chr3	6	42	1389
chr3	6	43	961
chr3	6	44	671
chr3	6	45	451
chr3	6	46	364
chr3	6	47	310
chr3	6	48	227
chr3	6	49	204
chr3	6	50	188
chr3	6	51	187
chr3	6	52	203
chr3	6	53	226
chr3	6	54	259
chr3	6	55	274
chr3	6	56	311
chr3	6	57	311
chr3	6	58	243
chr3	6	59	204
chr3	6	60	141
chr3	6	61	99
chr3	6	62	60
chr3	6	63	33
chr3	6	64	17
chr3	6	65	7
chr3	6	66	5
chr3	6	68	1
chr4	6	7	155
chr4	6	8	191
chr4	6	9	229
chr4	6	10	240
chr4	6	11	311
chr4	6	12	390
chr4	6	13	432
chr4	6	14	486
chr4	6	15	581
chr4	6	16	718
chr4	6	17	771
chr4	6	18	1008
chr4	6	19	1075
chr4	6	20	1333
chr4	6	21	1302
chr4	6	22	1739
chr4	6	23	1940
chr4	6	24	2694
chr4	6	25	2462
chr4	6	26	4224
chr4	6	27	4537
chr4	6	28	6574
chr4	6	29	7360
chr4	6	30	9028
chr4	6	31	10882
chr4	6	32	15052
chr4	6	33	19798
chr4	6	34	16682
chr4	6	35	14512
chr4	6	36	9973
chr4	6	37	7496
chr4	6	38	5208
chr4	6	39	3495
chr4	6	40	2551
chr4	6	41	1765
chr4	6	42	1320
chr4	6	43	902
chr4	6	44	651
chr4	6	45	473
chr4	6	46	341
chr4	6	47	251
chr4	6	48	201
chr4	6	49	204
chr4	6	50	156
chr4	6	51	225
chr4	6	52	187
chr4	6	53	202
chr4	6	54	235
chr4	6	55	261
chr4	6	56	268
chr4	6	57	246
chr4	6	58	238
chr4	6	59	194
chr4	6	60	157
chr4	6	61	97
chr4	6	62	59
chr4	6	63	24
chr4	6	64	9
chr4	6	65	6
chr4	6	66	3
chr4	6	67	1
chr5	6	7	142
chr5	6	8	188
chr5	6	9	256
chr5	6	10	242
chr5	6	11	333
chr5	6	12	352
chr5	6	13	399
chr5	6	14	457
chr5	6	15	571
chr5	6	16	691
chr5	6	17	675
chr5	6	18	969
chr5	6	19	911
chr5	6	20	1215
chr5	6	21	1346
chr5	6	22	1690
chr5	6	23	1832
chr5	6	24	2694
chr5	6	25	2382
chr5	6	26	4034
chr5	6	27	4443
chr5	6	28	6421
chr5	6	29	6827
chr5	6	30	8476
chr5	6	31	10280
chr5	6	32	14639
chr5	6	33	18933
chr5	6	34	16003
chr5	6	35	14043
chr5	6	36	9785
chr5	6	37	7179
chr5	6	38	5017
chr5	6	39	3448
chr5	6	40	2534
chr5	6	41	1719
chr5	6	42	1203
chr5	6	43	832
chr5	6	44	622
chr5	6	45	441
chr5	6	46	345
chr5	6	47	269
chr5	6	48	214
chr5	6	49	226
chr5	6	50	176
chr5	6	51	180
chr5	6	52	184
chr5	6	53	222
chr5	6	54	234
chr5	6	55	247
chr5	6	56	264
chr5	6	57	245
chr5	6	58	230
chr5	6	59	162
chr5	6	60	115
chr5	6	61	94
chr5	6	62	53
chr5	6	63	25
chr5	6	64	5
chr5	6	65	6
chr5	6	66	2
chr5	6	67	1
chr6	6	7	161
chr6	6	8	194
chr6	6	9	207
chr6	6	10	285
chr6	6	11	296
chr6	6	12	329
chr6	6	13	400
chr6	6	14	468
chr6	6	15	559
chr6	6	16	663
chr6	6	17	723
chr6	6	18	933
chr6	6	19	933
chr6	6	20	1226
chr6	6	21	1286
chr6	6	22	1672
chr6	6	23	1672
chr6	6	24	2553
chr6	6	25	2308
chr6	6	26	3859
chr6	6	27	4144
chr6	6	28	6170
chr6	6	29	6735
chr6	6	30	8134
chr6	6	31	9727
chr6	6	32	13974
chr6	6	33	17869
chr6	6	34	15300
chr6	6	35	13283
chr6	6	36	9036
chr6	6	37	6732
chr6	6	38	4816
chr6	6	39	3247
chr6	6	40	2305
chr6	6	41	1604
chr6	6	42	1176
chr6	6	43	783
chr6	6	44	573
chr6	6	45	432
chr6	6	46	305
chr6	6	47	246
chr6	6	48	199
chr6	6	49	190
chr6	6	50	149
chr6	6	51	175
chr6	6	52	185
chr6	6	53	183
chr6	6	54	195
