chrom	loc.start	loc.end	num.mark	seg.mean	FusedLasso	Effective
chr1	860001	57240001	31	-0.511296110522793	-0.868424865586968	55400000
chr1	58720001	69000001	7	-0.109085145563273	-0.124123411955689	12060000
chr1	70780001	111440001	23	0.427269478178673	0.556040859004555	41240000
chr1	113200001	212840001	40	-0.412997639263609	-0.800124066538022	72360000
chr1	214560001	245620001	18	0.115694860817516	0.102662706952282	33280000
chr2	40001	32760001	20	-0.303542864102213	-0.447794454620778	34060000
chr2	34640001	50680001	10	-0.129151475570148	-0.165500543121136	17760000
chr2	52460001	99800001	22	-0.0800198942915199	-0.155659301988206	39580000
chr2	101520001	110500001	6	1.10681615058592	0.762383940513676	10320000
chr2	113740001	113740001	1	0.00319963047152889	-0.0430697113410087	1780000
chr2	115840001	180960001	37	-0.168270012480733	-0.34846714065753	64840000
chr2	182680001	193740001	7	0.945452318277369	0.700009432073589	13000000
chr2	195720001	213960001	11	-0.106412160275153	-0.148997385117146	19980000
chr2	215760001	240060001	15	-0.602537964103158	-0.738137864494126	27080000
chr3	120001	13940001	9	0.605332680958979	0.555013970424192	15500000
chr3	15760001	70600001	32	-0.16176041883252	-0.331403801581438	56220000
chr3	72260001	121200001	22	0.690423448487036	1.01667413947914	39720000
chr3	123040001	170400001	27	0.172950748165084	0.257279600482611	48400000
chr3	172160001	179480001	5	0.169866522176702	0.0888779911355344	9140000
chr3	181300001	186980001	4	0.158263140061065	0.0683305031230544	7320000
chr3	188640001	193840001	4	-0.801937114128418	-0.554973783919778	8920000
chr4	60001	27140001	16	-0.0914406079325147	-0.166221177728603	27480000
chr4	28920001	152480001	64	0.223165474146283	0.608107916907942	118540000
chr4	154120001	154120001	1	0.354403574145969	0.0930178452649277	1740000
chr4	155860001	188740001	19	0.961280096977169	1.47376630639325	34840000
chr5	40001	8660001	6	0.677995110249478	0.596099645708459	9920000
chr5	10320001	54620001	22	-0.251396521208526	-0.483708823209604	40300000
chr5	56480001	76220001	11	0.0354407668487685	0.0093322151786431	19540000
chr5	78000001	85380001	5	0.957353631538154	0.778596121150418	9220000
chr5	87280001	96280001	6	-0.810143056229899	-0.789900040464697	10820000
chr5	98200001	133120001	20	0.346866755877649	0.554462087663307	36420000
chr5	134920001	159420001	15	-0.00347161730018557	-0.0404735802235834	26120000
chr5	161220001	177000001	10	-0.277294341665515	-0.368776312524698	18740000
chr6	180001	17460001	11	0.458509163652942	0.497525612951026	19160000
chr6	19340001	26540001	5	-0.152662758371824	-0.1803291974343	9120000
chr6	28780001	56260001	16	-0.778330332766651	-1.18941439063218	28360000
chr6	57680001	72820001	6	0.00135872414214714	-0.0548495883329227	11460000
chr6	74740001	80560001	4	0.0843537301077465	0.00535400808718349	7700000
chr6	82500001	167920001	48	0.345867056961048	0.816249458057306	87620000
chr7	60001	10380001	6	-0.547567220833176	-0.59505309328246	11360000
chr7	12200001	12200001	1	0.0130599080153895	-0.0431703716318706	1840000
chr7	14060001	35420001	13	0.292864853237316	0.381800833385647	22400000
chr7	37220001	47860001	7	-0.528497245275157	-0.618285362502351	12060000
chr7	49640001	63460001	5	1.07779079448348	0.933583325993714	10520000
chr7	67240001	92340001	13	0.0281064723967518	-0.00719668810150695	24180000
chr7	94080001	104900001	6	-0.0191105037286345	-0.0675676376783659	11880000
chr7	106820001	141380001	20	-0.184860397147908	-0.385379310815266	35980000
chr7	143780001	155940001	7	0.278729723799234	0.252016924276485	14060000
chr8	200001	14180001	8	0.302403786772433	0.335804978611593	13680000
chr8	15960001	80180001	34	-0.210459139285099	-0.522959635877097	60780000
